Term;Stemmed;Variations;Frequency
line function;line function;line function;0
forkmanaged function;forkmanaged function;forkmanaged function;0
statet monad transformer;statet monad transformer;statet monad transformer;0
subtype polymorphism;subtype polymorphism;subtype polymorphism;0
child socket;child socket;child sockets, child socket;0
identity transformation (foldr);identity transformation ( foldr );identity transformation (foldr);0
programming language;programming language;programming language;28
floating point operator;floating point operator;floating point operators, floating point operator;1
foldr function 2nd;foldr function 2nd;foldr function 2nd;0
shared-state;shared-state;shared-state;0
inductive case;inductive case;inductive case;0
EAN-13 barcodes;EAN-13 barcodes;EAN-13 barcodes;0
numeric escape;numeric escape;numeric escapes, numeric escape;0
solution map;solution map;solution maps, solution map;0
package;package;packages, package;40
delete function;delete function;delete function;0
writer type;writer type;writer type;0
evaluation strategy;evaluation strategy;evaluation strategies, evaluation strategy;0
type synonym;type synonym;type synonyms, type synonym;4
extensionality principle;extensionality principle;extensionality principle;2
op;op;ops, op;4
Parsec CSV file;parsec csv file;Parsec CSV files, Parsec CSV file;0
recip function;recip function;recip function;0
split-base Cabal flag;split-base Cabal flag;split-base Cabal flag;0
help command (ghci);help command ( ghci );help command (ghci);0
:set prompt 2nd;: set prompt 2nd;:set prompt 2nd;0
openfile function 2nd;openfile function 2nd;openfile function 2nd;0
high-order function;high-order function;high-order functions, high-order function;0
operator;operator;operators, operator;164
pivot;pivot;pivots, pivot;0
generalizednewtypederiving extension 2nd;generalizednewtypederiving extension 2nd;generalizednewtypederiving extension 2nd;0
strict;strict;strict;22
pcre_fullinfo function;pcre_fullinfo function;pcre_fullinfo function;0
gtk2h;gtk2h;gtk2hs, gtk2h;0
rational type;rational type;rational type;1
modifyMVar function;modifymvar function;modifyMVar function;0
I/O (input/output);I/O (input/output);I/O (input/output);0
components (types);component ( type );components (types);0
multitasking;multitasking;multitasking;0
nondeterministic value;nondeterministic value;nondeterministic values, nondeterministic value;0
default;default;default;40
sin function;sin function;sin function;0
bloom filter;bloom filter;bloom filters, bloom filter;0
discriminated union;discriminated union;discriminated unions, discriminated union;0
ab;ab;abs, ab;4
applicative style;applicative style;applicative style;0
first-class citizen;first-class citizen;first-class citizens, first-class citizen;0
GUI programming;gui programming;GUI programming;0
file;file;files, file;78
unsafeIOToSTM function;unsafeiotostm function;unsafeIOToSTM function;0
handle function;handle function;handle function;0
takewhile;takewhile;takewhile;5
vs. I/O;vs. I/O;vs. I/O;0
logical and (&&);logical and (&&);logical and (&&);0
deriving;deriving;deriving;5
either type;either type;either type;0
concat;concat;concat;18
algebraic;algebraic;algebraic;71
projection function;projection function;projection functions, projection function;0
prop_one_present function;prop_one_present function;prop_one_present function;0
hprint function;hprint function;hprint function;0
CPP;cpp;CPP;0
STM (software transactional memory);stm ( software transactional memory );STM (software transactional memory);0
all;all;all;406
pcre_compile function;pcre_compile function;pcre_compile function;0
sqrt function;sqrt function;sqrt function;0
floating point;floating point;floating point;7
fromrational function;fromrational function;fromrational function;0
declarations (module);declaration ( module );declarations (module);0
reasoning;reasoning;reasoning;14
maybe implementation;maybe implementation;maybe implementation;0
withforeignptr function;withforeignptr function;withforeignptr function;0
inductive/recursive case;inductive/recursive case;inductive/recursive case;0
ruby;ruby;ruby;0
binding power;binding power;binding power;13
tail;tail;tail;36
program;program;program;410
lift function 2nd;lift function 2nd;lift function 2nd;0
global;global;global;3
class constraint;class constraint;class constraints, class constraint;1
functor typeclass;functor typeclass;functor typeclass;0
print;print;print;16
balancing;balancing;balancing;0
inttodigit;inttodigit;inttodigit;0
condition;condition;conditions, condition;31
reader monad;reader monad;reader monad;0
list;list;lists, list;1243
mapreduce;mapreduce;mapreduce;0
function definition;function definition;function definition;44
domain-specific language;domain-specific language;domain-specific languages, domain-specific language;5
two-dimensional array;two-dimensional array;two-dimensional arrays, two-dimensional array;0
systems programming;system programming;systems programming;0
built-in;built-in;built-in;44
PCRE libraries and;PCRE libraries and;PCRE libraries and;0
syslog;syslog;syslog;0
design;design;design;110
form function;form function;form function;0
ghemawat;ghemawat;ghemawat;0
maxbound function;maxbound function;maxbound function;0
escaping text;escaping text;escaping text;0
color image;color image;color images, color image;0
section;section;sections, section;505
fractional;fractional;fractional;9
bounded variable;bounded variable;bounded variables, bounded variable;0
escaping;escaping;escaping;0
metadatum;metadatum;metadata, metadatum;0
writert monad transformer;writert monad transformer;writert monad transformer;0
behaviour;behaviour;behaviour;70
supplying random number;supplying random number;supplying random numbers, supplying random number;0
System.IO.Error module;System.IO.Error module;System.IO.Error module;0
escape character;escape character;escape characters, escape character;1
action;action;actions, action;46
Exposed-Modules field;Exposed-Modules field;Exposed-Modules field;0
programmable semicolon;programmable semicolon;programmable semicolon;0
function composition;function composition;function composition;24
coercion;coercion;coercion;0
executable;executable;executables, executable;5
overlapping instance;overlapping instance;overlapping instances, overlapping instance;0
JSON (JavaScript Object Notation);json ( javascript object notation );JSON (JavaScript Object Notation);0
UIDs (user IDs);uids ( user ids );UIDs (user IDs);0
STM monad;stm monad;STM monad;0
syntactic sugar;syntactic sugar;syntactic sugar;1
sepby function;sepby function;sepby function;0
h function;h function;h functions, h function;0
group function;group function;group function;0
partial application of functions;partial application of function;partial application of functions;0
number system of barcodes;number system of barcodes;number systems of barcodes, number system of barcodes;0
text processing;text processing;text processing;22
uncurrying;uncurrying;uncurrying;2
xor function;xor function;xor function;0
equation;equation;equation;92
installing;installing;installing;2
binding c to haskell;binding c to haskell;binding c to haskell;0
unsafePerformIO function;unsafeperformio function;unsafePerformIO function;0
JSON typclass;json typclass;JSON typclasses, JSON typclass;0
applicative value;applicative value;applicative value;0
readfile function 2nd 3rd;readfile function 2nd 3rd;readfile function 2nd 3rd;0
scan;scan;scan;0
minimum;minimum;minimum;18
seekmode parameter (htell);seekmode parameter ( htell );seekmode parameter (htell);0
implicit state;implicit state;implicit state;0
return function;return function;return function;2
join function;join function;join function;1
recursive;recursive;recursive;108
mapm;mapm;mapm;0
applicative law;applicative law;applicative laws, applicative law;0
mutable;mutable;mutable;1
total function;total function;total functions, total function;0
Reverse Polish Notation (RPN);reverse polish notation ( rpn );Reverse Polish Notation (RPN);0
mapping;mapping;mapping;15
GHC (Glasgow Haskell Compiler);ghc ( glasgow haskell compiler );GHC (Glasgow Haskell Compiler);0
making instance;making instance;making instances, making instance;0
maxium function;maxium function;maxium function;0
using multiple;using multiple;using multiple;0
sqlvalues type;sqlvalues type;sqlvalues type;0
documentation;documentation;documentation;37
parameterized;parameterized;parameterized;0
stacking multiple;stacking multiple;stacking multiple;0
log function;log function;log function;0
lookaheads (regular expressions);lookaheads ( regular expression );lookaheads (regular expressions);0
union type;union type;union type;2
type inference;type inference;type inference;4
monadstate typeclass;monadstate typeclass;monadstate typeclass;0
arbitrary typeclass 2nd 3rd;arbitrary typeclass 2nd 3rd;arbitrary typeclass 2nd 3rd;0
unsafe keyword;unsafe keyword;unsafe keyword;0
tab (\t) character;tab (\ t ) character;tab (\t) character;0
truncate function 2nd;truncate function 2nd;truncate function 2nd;0
hclose function 2nd;hclose function 2nd;hclose function 2nd;0
initializing;initializing;initializing;0
pwd command;pwd command;pwd command;0
using strong type;using strong type;using strong types, using strong type;0
c preprocessor;c preprocessor;c preprocessor;0
return;return;return;207
idempotence;idempotence;idempotence;1
unix-compat package;unix-compat package;unix-compat package;0
buffering;buffering;buffering;4
mapreduce (google);mapreduce ( google );mapreduce (google);0
high-level wrapper;high-level wrapper;high-level wrappers, high-level wrapper;0
dummy value at errors;dummy value at error;dummy values at errors, dummy value at errors;1
deferred computation;deferred computation;deferred computation;0
opentempfile function;opentempfile function;opentempfile function;0
left-associative;left-associative;left-associative;0
Data.Array module;Data.Array module;Data.Array module;0
pure code;pure code;pure code;0
functor;functor;functors, functor;7
laziness and space leak;laziness and space leak;laziness and space leaks, laziness and space leak;0
sizing safely;sizing safely;sizing safely;0
marshaling;marshaling;marshaling;0
netpbm file format 2nd;netpbm file format 2nd;netpbm file format 2nd;0
-fvia-C option;-fvia-C option;-fvia-C option;0
evaluation;evaluation;evaluation;91
text mode;text mode;text mode;0
LANGUAGE pragma;language pragma;LANGUAGE pragmas, LANGUAGE pragma;0
System.Posix module;System.Posix module;System.Posix module;0
high-order;high-order;high-order;0
understanding program;understanding program;understanding programs, understanding program;2
explicit recursion;explicit recursion;explicit recursion;0
drivers (HDBC);driver ( hdbc );drivers (HDBC);0
definition;definition;definitions, definition;845
putchar;putchar;putchar;0
thread;thread;threads, thread;4
event-driven programming;event-driven programming;event-driven programming;0
describetable function;describetable function;describetable function;0
file processing;file processing;file processing;0
readln;readln;readln;0
parametric polymorphism;parametric polymorphism;parametric polymorphism;0
the state monad;the state monad;the state monad;4
patternguards language extension;patternguards language extension;patternguards language extension;0
encoding;encoding;encoding;5
number;number;numbers, number;412
linking;linking;linking;1
Data.Char module;Data.Char module;Data.Char module;0
unwords function;unwords function;unwords function;0
marshaling datum;marshaling datum;marshaling data, marshaling datum;0
horse;horse;horse;11
script;script;script;37
interact;interact;interact;5
readert monad layer;readert monad layer;readert monad layer;0
assumption;assumption;assumptions, assumption;9
scheme;scheme;scheme;0
typesynonyminstances language extension 2nd;typesynonyminstances language extension 2nd;typesynonyminstances language extension 2nd;0
store;store;store;71
(>>=) function and 2nd 3rd;(>>=) function and 2nd 3rd;(>>=) function and 2nd 3rd;0
.tix file;.tix file;.tix files, .tix file;0
System.Environment module;System.Environment module;System.Environment module;0
forward composition;forward composition;forward composition;6
declaring instance;declaring instance;declaring instances, declaring instance;0
fst function 2nd;fst function 2nd;fst function 2nd;0
Glasgow Haskell Compiler (GHC);glasgow haskell compiler ( ghc );Glasgow Haskell Compiler (GHC);0
numeric conversion;numeric conversion;numeric conversions, numeric conversion;1
algebraic data type;algebraic data type;algebraic data types, algebraic data type;10
monadreader typeclass;monadreader typeclass;monadreader typeclass;0
domain-specific language for;domain-specific language for;domain-specific language for;1
monomorphism;monomorphism;monomorphism;1
debugging;debugging;debugging;6
event-driven;event-driven;event-driven;0
weak head normal form (WHNF) 2nd 3rd;weak head normal form ( whnf ) 2nd 3rd;weak head normal form (WHNF) 2nd 3rd;0
null;null;null;7
Data.Typeable module;Data.Typeable module;Data.Typeable module;0
Structured Query Language (SQL);structured query language ( sql );Structured Query Language (SQL);0
list of successes method;list of success method;list of successes method;1
odd;odd;odd;3
liftm;liftm;liftm;2
outmess;outmess;outmess;12
duck typing;duck typing;duck typing;0
redex;redex;redex;0
tocalendartime function;tocalendartime function;tocalendartime function;0
grain size;grain size;grain sizes, grain size;0
free variable;free variable;free variable;3
nothing;nothing;nothing;33
ODBC driver;odbc driver;ODBC drivers, ODBC driver;0
selector;selector;selector;5
JavaScript Object Notation [See JSON];javascript object notation [ see json ];JavaScript Object Notation [See JSON];0
impure code;impure code;impure code;0
enum typeclass;enum typeclass;enum typeclass;0
-fhpc flag;-fhpc flag;-fhpc flag;0
loosely coupled;loosely coupled;loosely coupled;0
GTK+ development environment;gtk + development environment;GTK+ development environment;0
lazy function;lazy function;lazy functions, lazy function;1
relation;relation;relations, relation;50
backtracking;backtracking;backtracking;2
GHC.Conc module 2nd;GHC.Conc module 2nd;GHC.Conc module 2nd;0
local function;local function;local function;2
c programming;c programming;c programming;0
word16 type;word16 type;word16 type;0
foldl1;foldl1;foldl1;0
Map.insert function;Map.insert function;Map.insert function;0
lifting function;lifting function;lifting functions, lifting function;0
compiler;compiler;compilers, compiler;8
Mac OS X;mac os x;Mac OS X;6
functions for;function for;functions for;16
threaded runtime;threaded runtime;threaded runtime;0
set;set;sets, set;164
throwing;throwing;throwing;0
anonymous type;anonymous type;anonymous types, anonymous type;0
strict type;strict type;strict types, strict type;0
underscore character (_);underscore character ( _ );underscore character (_);0
force function;force function;force function;0
writefile function;writefile function;writefile function;0
concatenate;concatenate;concatenate;3
profiling;profiling;profiling;1
creating;creating;creating;3
algebraic expression;algebraic expression;algebraic expressions, algebraic expression;0
system message;system message;system messages, system message;0
uncurry;uncurry;uncurry;17
interface;interface;interfaces, interface;37
understanding;understanding;understanding;12
zipper;zipper;zipper;0
folding;folding;folding;34
reverse;reverse;reverse;45
OverlappingInstances/TypeSynonymInstances language extension;OverlappingInstances/TypeSynonymInstances language extension;OverlappingInstances/TypeSynonymInstances language extensions, OverlappingInstances/TypeSynonymInstances language extension;0
lookuptable;lookuptable;lookuptable;1
transactions (database);transaction ( database );transactions (database);0
word32 type;word32 type;word32 type;0
mapm function 2nd;mapm function 2nd;mapm function 2nd;0
fold function;fold function;fold functions, fold function;2
undefined symbol;undefined symbol;undefined symbols, undefined symbol;0
parsechar function;parsechar function;parsechar function;0
command-line editing;command-line editing;command-line editing;0
side-effect;side-effect;side-effect;8
shadowing parameter;shadowing parameter;shadowing parameters, shadowing parameter;0
enumerated type;enumerated type;enumerated type;11
pythagorean triple;pythagorean triple;pythagorean triple;7
print function;print function;print function;1
modelling;modelling;modelling;12
overloading;overloading;overloading;36
applicative functor;applicative functor;applicative functor;0
handling;handling;handling;15
truth table;truth table;truth tables, truth table;3
double hashing;double hashing;double hashing;0
buffermode type;buffermode type;buffermode type;0
error;error;errors, error;153
union keyword (C/C++);union keyword (C/C++);union keyword (C/C++);0
strict and lazy bytestring;strict and lazy bytestring;strict and lazy bytestrings, strict and lazy bytestring;0
loop;loop;loops, loop;16
getstatus function;getstatus function;getstatus function;0
folding from left;folding from left;folding from left;0
show typeclass;show typeclass;show typeclass;0
calculator;calculator;calculators, calculator;39
master socket;master socket;master sockets, master socket;0
queuestate;queuestate;queuestate;14
.hs source file;.hs source file;.hs source files, .hs source file;0
temporary;temporary;temporary;1
applicative;applicative;applicative;2
assignment;assignment;assignment;12
space leaks 2nd 3rd;space leak 2nd 3rd;space leaks 2nd 3rd;0
stack;stack;stacks, stack;6
I/O;I/O;I/O;98
database;database;databases, database;62
cheap modification;cheap modification;cheap modifications, cheap modification;0
memoization;memoization;memoization;3
local variable;local variable;local variables, local variable;1
MySQL;mysql;MySQL;0
communication between 2nd;communication between 2nd;communication between 2nd;0
zero-width escape sequence;zero-width escape sequence;zero-width escape sequences, zero-width escape sequence;0
System.Win32 module;System.Win32 module;System.Win32 module;0
input;input;input;214
the reader monad;the reader monad;the reader monad;0
transformation;transformation;transformation;22
point (.) character;point (.) character;point (.) character;0
normal form (NF);normal form ( nf );normal form (NF);0
IConnection function;iconnection function;IConnection function;0
minbound function;minbound function;minbound function;0
pseudorandom value generation;pseudorandom value generation;pseudorandom value generation;0
partial type monad instance;partial type monad instance;partial type monad instances, partial type monad instance;0
integer;integer;integer;303
bit;bit;bit;20
sorting;sorting;sorting;27
new identity;new identity;new identities, new identity;0
newtype wrapper;newtype wrapper;newtype wrapper;0
values (undefined);value ( undefined );values (undefined);0
google;google;google;2
expression type|see;expression type | see;expression type|see;1
gettables function;gettables function;gettables function;0
Data.List module;Data.List module;Data.List module;0
type-checking;type-checking;type-checking;3
mplus function;mplus function;mplus function;0
record syntax;record syntax;record syntax;0
connecting;connecting;connecting;0
FFI binding;ffi binding;FFI binding;0
random value;random value;random values, random value;5
purity 2nd 3rd [see also pure functions];purity 2nd 3rd [ see also pure function ];purity 2nd 3rd [see also pure functions];0
readability;readability;readability;1
splitat;splitat;splitat;3
constraint;constraint;constraints, constraint;44
ghci interpreter 2nd;ghci interpreter 2nd;ghci interpreter 2nd;0
simulation;simulation;simulation;43
edit distance;edit distance;edit distance;14
backquote;backquote;backquote;1
defining new;defining new;defining new;0
dynamic exception;dynamic exception;dynamic exceptions, dynamic exception;0
plusptr function;plusptr function;plusptr function;0
concurrent programs 2nd;concurrent program 2nd;concurrent programs 2nd;0
integral;integral;integral;6
where clause 2nd;where clause 2nd;where clause 2nd;0
POST method (HTTP);post method ( http );POST method (HTTP);0
iterate;iterate;iterate;2
perl;perl;perl;0
span;span;span;0
type keyword;type keyword;type keyword;0
find command;find command;find command;0
PCRE library and;PCRE library and;PCRE library and;0
chr;chr;chr;0
RSS format;rss format;RSS format;0
randoms function;randoms function;randoms function;0
wadler;wadler;wadler;0
rem function;rem function;rem function;0
\t (tab) character;\ t ( tab ) character;\t (tab) character;0
searching;searching;searching;4
module header;module header;module headers, module header;4
Control.Arrow module;Control.Arrow module;Control.Arrow module;0
magic number;magic number;magic numbers, magic number;0
variable naming;variable naming;variable naming;0
foreign import declaration;foreign import declaration;foreign import declarations, foreign import declaration;0
alist (association lists);alist ( association list );alist (association lists);0
null value;null value;null values, null value;0
HCode;hcode;HCode;1
takewhile function;takewhile function;takewhile function;0
torational function;torational function;torational function;0
constant;constant;constants, constant;27
lazy reading;lazy reading;lazy reading;0
parser;parser;parsers, parser;71
char;char;char;52
let expression;let expression;let expressions, let expression;0
isdigit;isdigit;isdigit;2
parsec;parsec;parsec;0
monotype;monotype;monotype;3
monadtrans class;monadtrans class;monadtrans class;0
application;application;application;132
arithmetic;arithmetic;arithmetic;10
type class;type class;type classes, type class;31
dispatch function;dispatch function;dispatch function;0
:type command 2nd;: type command 2nd;:type command 2nd;0
glasgow haskell compiler;glasgow haskell compiler;glasgow haskell compiler;4
compact function;compact function;compact function;0
oracle;oracle;oracle;0
value constructor;value constructor;value constructors, value constructor;0
objects 2nd;object 2nd;objects 2nd;0
composite data type;composite data type;composite data types, composite data type;0
code;code;code;106
partial;partial;partial;52
blending c with haskell;blending c with haskell;blending c with haskell;0
laziness;laziness;laziness;1
CSV file;csv file;CSV files, CSV file;0
state monad;state monad;state monad;6
query;query;queries, query;1
quality assurance;quality assurance;quality assurance;0
getline;getline;getline;14
main function;main function;main function;0
lines function 2nd 3rd;line function 2nd 3rd;lines function 2nd 3rd;0
unzip;unzip;unzip;9
zip function;zip function;zip function;0
maps 2nd 3rd;map 2nd 3rd;maps 2nd 3rd;0
higher-order function;higher-order function;higher-order function;38
recip;recip;recip;0
bounded typeclass;bounded typeclass;bounded typeclass;0
binary datum;binary datum;binary data, binary datum;0
lambda function;lambda function;lambda functions, lambda function;0
foldr;foldr;foldr;60
emptydatadecls language extension;emptydatadecls language extension;emptydatadecls language extension;0
inclusive or;inclusive or;inclusive or;1
fold;fold;fold;21
foldl;foldl;foldl;17
foldm;foldm;foldm;0
line-aligned chunk;line-aligned chunk;line-aligned chunks, line-aligned chunk;0
head normal form (HNF);head normal form ( hnf );head normal form (HNF);0
dates and time;date and time;dates and times, dates and time;0
inmess;inmess;inmess;11
prefix form;prefix form;prefix form;1
x86_64 assembly;x86_64 assembly;x86_64 assembly;0
binary tree;binary tree;binary trees, binary tree;6
map type;map type;map type;0
htell function;htell function;htell function;0
offside rule;offside rule;offside rule;8
membe;membe;membe;0
System.Directory module;System.Directory module;System.Directory module;0
implementation;implementation;implementation;156
folding from right;folding from right;folding from right;0
transformer stacking order;transformer stacking order;transformer stacking order;0
proof;proof;proof;148
monadic expression;monadic expression;monadic expressions, monadic expression;0
boolean;boolean;booleans, boolean;31
Foreign.Ptr module;Foreign.Ptr module;Foreign.Ptr module;0
listarray function;listarray function;listarray function;0
reverse function;reverse function;reverse function;1
getstdrandom function;getstdrandom function;getstdrandom function;0
zip;zip;zip;25
foldl function;foldl function;foldl function;0
readable;readable;readable;16
decodemessage;decodemessage;decodemessage;1
guideline;guideline;guidelines, guideline;2
calculation;calculation;calculation;126
boolean value;boolean value;boolean values, boolean value;4
conditional with guards;conditional with guard;conditional with guards;0
hiding;hiding;hiding;15
control.Concurrent;control.Concurrent;control.Concurrent;0
explicit type declaration;explicit type declaration;explicit type declaration;0
program modification;program modification;program modification;2
pattern of computation;pattern of computation;pattern of computation;8
loop function;loop function;loop function;0
closing;closing;closing;4
symbol table;symbol table;symbol table;0
memory management;memory management;memory management;0
process;process;processes, process;47
as-pattern;as-pattern;as-patterns, as-pattern;0
tail recursion;tail recursion;tail recursion;0
PRNG (pseudorandom number generator);prng ( pseudorandom number generator );PRNG (pseudorandom number generator);0
mutable reference;mutable reference;mutable references, mutable reference;0
negation;negation;negation;1
lazy language;lazy language;lazy languages, lazy language;3
input/output;input/output;input/output;6
common pattern;common pattern;common patterns, common pattern;1
data structures 2nd 3rd;data structure 2nd 3rd;data structures 2nd 3rd;0
generator expression;generator expression;generator expressions, generator expression;0
elements function;element function;elements function;0
glob pattern;glob pattern;glob patterns, glob pattern;0
maximal common subsequence;maximal common subsequence;maximal common subsequence;5
positional type;positional type;positional types, positional type;0
left fold function;left fold function;left fold functions, left fold function;0
object-oriented;object-oriented;object-oriented;7
Foreign.Marshal.Array module;Foreign.Marshal.Array module;Foreign.Marshal.Array module;0
FreeBSD;freebsd;FreeBSD;0
set comprehension;set comprehension;set comprehension;0
round function;round function;round function;0
FDs (file descriptors);fds ( file descriptor );FDs (file descriptors);0
interpreter;interpreter;interpreters, interpreter;5
type instance;type instance;type instances, type instance;0
environment (programming);environment ( programming );environment (programming);0
pixel;pixel;pixels, pixel;8
ELF object file;elf object file;ELF object files, ELF object file;0
RGB image;rgb image;RGB images, RGB image;0
monadic value;monadic value;monadic values, monadic value;1
factorial;factorial;factorial;32
injector function;injector function;injector functions, injector function;0
operator section;operator section;operator sections, operator section;19
left identity [see (>>=) operator];left identity [ see (>>=) operator ];left identity [see (>>=) operator];0
wild card pattern;wild card pattern;wild card patterns, wild card pattern;0
successor;successor;successor;4
blending with c;blending with c;blending with c;0
tails function;tail function;tails function;0
plain (p3) netpbm format;plain ( p3 ) netpbm format;plain (p3) netpbm format;0
synchronizing variable;synchronizing variable;synchronizing variable;0
WHNF (weak head normal form) 2nd 3rd;whnf ( weak head normal form ) 2nd 3rd;WHNF (weak head normal form) 2nd 3rd;0
\r (carriage return) character;\ r ( carriage return ) character;\r (carriage return) character;0
fold' function;fold ' function;fold' function;0
identifier;identifier;identifier;14
unary operator (-);unary operator (-);unary operator (-);0
chunk;chunk;chunks, chunk;0
snd;snd;snd;2
list management;list management;list management;0
variables 2nd;variable 2nd;variables 2nd;0
structural induction;structural induction;structural induction;25
mulitcore programming;mulitcore programming;mulitcore programming;0
ASCII coding;ascii coding;ASCII coding;1
liftm function 2nd 3rd 4th;liftm function 2nd 3rd 4th;liftm function 2nd 3rd 4th;0
matrix;matrix;matrix;9
Prelude.hs;Prelude.hs;Prelude.hs;11
input/output [See I/O];input/output [See I/O];input/output [See I/O];0
actual parameter;actual parameter;actual parameter;0
global variable;global variable;global variables, global variable;0
induction;induction;induction;128
dictionary;dictionary;dictionaries, dictionary;4
invisible data dependency;invisible data dependency;invisible data dependencies, invisible data dependency;0
data type;data type;data types, data type;106
database engine;database engine;database engines, database engine;0
file descriptors (FDs);file descriptor ( fds );file descriptors (FDs);0
Daylight Saving Time (DST);daylight saving time ( dst );Daylight Saving Time (DST);0
length;length;length;138
bytestring;bytestring;bytestrings, bytestring;0
filename matching;filename matching;filename matching;0
allocating datum;allocating datum;allocating data, allocating datum;0
stub version of types/functions;stub version of types/functions;stub versions of types/functions, stub version of types/functions;0
type annotation;type annotation;type annotations, type annotation;3
glasgow haskell;glasgow haskell;glasgow haskell;4
hgetcontents function;hgetcontents function;hgetcontents function;0
UDP;udp;UDP;0
testing;testing;testing;54
doc data type;doc data type;doc data type;0
Control.Monad.Error module 2nd 3rd;Control.Monad.Error module 2nd 3rd;Control.Monad.Error module 2nd 3rd;0
showtype;showtype;showtype;2
point-free style;point-free style;point-free style;0
debian linux;debian linux;debian linux;0
fmap function 2nd;fmap function 2nd;fmap function 2nd;0
sqlerror type;sqlerror type;sqlerror type;0
showhex function;showhex function;showhex function;0
min;min;min;2
undefined value;undefined value;undefined values, undefined value;7
information hiding;information hiding;information hiding;8
stdout function;stdout function;stdout function;0
instance;instance;instances, instance;268
pseudorandom number generator (PRNG);pseudorandom number generator ( prng );pseudorandom number generator (PRNG);0
Haskell DataBase Connectivity system (HDBC);haskell database connectivity system ( hdbc );Haskell DataBase Connectivity system (HDBC);0
normal form datum;normal form datum;normal form data, normal form datum;0
tolower;tolower;tolower;0
Coordinated Universal Time (UTC);coordinated universal time ( utc );Coordinated Universal Time (UTC);0
enumerating;enumerating;enumerating;1
zipwith;zipwith;zipwith;19
pure function;pure function;pure functions, pure function;0
text;text;text;71
barcode recognition;barcode recognition;barcode recognition;0
shiftl function;shiftl function;shiftl function;0
deleting/renaming;deleting/renaming;deleting/renaming;0
length function 2nd;length function 2nd;length function 2nd;0
rotatehorse;rotatehorse;rotatehorse;1
kleisli composition;kleisli composition;kleisli composition;2
monad type class;monad type class;monad type class;0
evaluation order;evaluation order;evaluation order;2
local;local;local;53
pitfall;pitfall;pitfalls, pitfall;11
handle;handle;handles, handle;6
immutable list;immutable list;immutable lists, immutable list;0
common pattern in monads;common pattern in monad;common patterns in monads, common pattern in monads;0
right identity [see (>>=) operator];right identity [ see (>>=) operator ];right identity [see (>>=) operator];0
quantifier;quantifier;quantifier;5
single quotes (');single quote (');single quotes (');0
infop type 2nd;infop type 2nd;infop type 2nd;0
System.Cmd module;System.Cmd module;System.Cmd module;0
suffixes function;suffix function;suffixes function;0
writer monad;writer monad;writer monad;0
single-character escape code;single-character escape code;single-character escape codes, single-character escape code;0
type inference 2nd;type inference 2nd;type inference 2nd;0
garbage collecting;garbage collecting;garbage collecting;0
moggi;moggi;moggi;1
module;module;modules, module;215
string literal;string literal;string literals, string literal;0
finiteness;finiteness;finiteness;4
converting;converting;converting;4
type signature;type signature;type signatures, type signature;3
read typeclass;read typeclass;read typeclass;0
replicate function;replicate function;replicate function;0
gcc compiler;gcc compiler;gcc compiler;0
ill typed rule;ill typed rule;ill typed rules, ill typed rule;0
local definition;local definition;local definitions, local definition;33
state;state;state;83
lend function;lend function;lend function;0
invariant;invariant;invariants, invariant;4
conditional evaluation 2nd;conditional evaluation 2nd;conditional evaluation 2nd;0
timediff type;timediff type;timediff type;0
association lists 2nd;association list 2nd;association lists 2nd;0
widget descriptions saved a;widget description saved a;widget descriptions saved as, widget descriptions saved a;0
composable functor;composable functor;composable functors, composable functor;0
finding statu;finding statu;finding status, finding statu;0
typeclass;typeclass;typeclasses, typeclass;0
nomonomorphismrestriction 2nd;nomonomorphismrestriction 2nd;nomonomorphismrestriction 2nd;0
foreignptr type;foreignptr type;foreignptr type;0
link time;link time;link time;0
comment;comment;comment;21
type error;type error;type error;21
forkprocess function;forkprocess function;forkprocess function;0
otherwise;otherwise;otherwise;31
casual parsing for;casual parsing for;casual parsing for;0
top level name;top level name;top level names, top level name;0
environment variable;environment variable;environment variables, environment variable;0
point-free expression;point-free expression;point-free expressions, point-free expression;0
greedy algorithm;greedy algorithm;greedy algorithm;2
table;table;table;56
transforming input;transforming input;transforming input;0
associativity;associativity;associativity;12
literal;literal;literal;38
hputstrln function;hputstrln function;hputstrln function;0
applicative type class;applicative type class;applicative type class;0
HNF (head normal form);hnf ( head normal form );HNF (head normal form);0
URL-encoded query string;URL-encoded query string;URL-encoded query strings, URL-encoded query string;0
monadplus typeclass;monadplus typeclass;monadplus typeclass;0
foldl function 2nd;foldl function 2nd;foldl function 2nd;0
functionaldependency;functionaldependency;functionaldependencies, functionaldependency;0
value;value;value;493
parameterized types 2nd;parameterized type 2nd;parameterized types 2nd;0
accumulator;accumulator;accumulator;1
snd function;snd function;snd function;0
prelude;prelude;prelude;110
recursive function;recursive function;recursive function;9
getclocktime function;getclocktime function;getclocktime function;0
flex;flex;flex;0
pythagoras's theorem;pythagoras ' s theorem;pythagoras's theorem;0
arrays 2nd 3rd;array 2nd 3rd;arrays 2nd 3rd;0
tables (hash) 2nd;table ( hash ) 2nd;tables (hash) 2nd;0
hardware;hardware;hardware;10
compiling source;compiling source;compiling source;0
parse wrapper;parse wrapper;parse wrapper;0
flexiblecontext;flexiblecontext;flexiblecontexts, flexiblecontext;0
Adler-32 checksum;Adler-32 checksum;Adler-32 checksum;0
infinity;infinity;infinity;1
context;context;context;48
quadratic equation;quadratic equation;quadratic equation;2
