Term;Stemmed;Variations;Frequency
quadratic equation;quadratic equation;quadratic equation;0
reporting;reporting;reporting;3
key-value pair;key-value pair;key-value pairs, key-value pair;3
distributivity;distributivity;distributivity;0
identity;identity;identities, identity;29
polymorphism;polymorphism;polymorphism;1
mzero;mzero;mzero;0
numeric library;numeric library;numeric library;0
lookup function;lookup function;lookup function;0
module function;module function;module functions, module function;0
command;command;command;23
filesystem;filesystem;filesystems, filesystem;0
primitive recursive function;primitive recursive function;primitive recursive functions, primitive recursive function;0
haskell.org;haskell.org;haskell.org;0
TCP;tcp;TCP;0
.hsc files 2nd;.hsc files 2nd;.hsc files 2nd;0
runST function;runst function;runST function;0
runghc program;runghc program;runghc program;0
ADT;adt;ADT;0
System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;System.Directory module 2nd 3rd;0
string function;string function;string function;0
monads 2nd;monad 2nd;monads 2nd;0
data structure;data structure;data structures, data structure;28
deadlocks 2nd;deadlock 2nd;deadlocks 2nd;0
boolean expression;boolean expression;boolean expressions, boolean expression;1
sequencing;sequencing;sequencing;3
fromintegral function 2nd;fromintegral function 2nd;fromintegral function 2nd;0
callback function;callback function;callback functions, callback function;0
elem function;elem function;elem function;0
Control.Monad module 2nd;Control.Monad module 2nd;Control.Monad module 2nd;0
qualified import;qualified import;qualified imports, qualified import;10
widgets (GUI programming);widget ( gui programming );widgets (GUI programming);0
export;export;exports, export;35
shape of functors;shape of functors;shape of functors;0
monomorphic property;monomorphic property;monomorphic properties, monomorphic property;0
web client programming;web client programming;web client programming;0
testing [see quality assurance];testing [ see quality assurance ];testing [see quality assurance];0
multiplication (*) option;multiplication (*) option;multiplication (*) option;0
enum;enum;enum;1
infix version of a function;infix version of a function;infix version of a function;0
monadplus;monadplus;monadplus;0
CAFs (constant applicative forms);cafs ( constant applicative form );CAFs (constant applicative forms);0
non-threaded runtime;non-threaded runtime;non-threaded runtime;0
socket;socket;sockets, socket;0
pipes (redirection);pipe ( redirection );pipes (redirection);0
glade;glade;glade;0
maxthree;maxthree;maxthree;0
constructor;constructor;constructors, constructor;145
context of failure;context of failure;context of failure;2
software;software;software;0
guard;guard;guards, guard;30
boolean algebra;boolean algebra;boolean algebra;1
Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;Data.ByteString.Lazy.Char8 module;0
negate;negate;negate;1
networking;networking;networking;0
reduction;reduction;reduction;0
function;function;functions, function;1576
strict evaluation 2nd;strict evaluation 2nd;strict evaluation 2nd;0
MonadIO typeclass;monadio typeclass;MonadIO typeclass;0
divide and conquer;divide and conquer;divide and conquer;0
random number;random number;random numbers, random number;21
overlapping;overlapping;overlapping;0
RPN (Reverse Polish Notation);rpn ( reverse polish notation );RPN (Reverse Polish Notation);0
embedded domain specific language;embedded domain specific language;embedded domain specific languages, embedded domain specific language;0
editing;editing;editing;0
Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;Graphics.UI.Gtk.Graphics.UI.Gtk.Glade module;0
record;record;records, record;15
Database.HDBC module;Database.HDBC module;Database.HDBC module;0
limit;limit;limit;2
stderr function;stderr function;stderr function;0
standard prelude;standard prelude;standard prelude;1
c programming language 2nd 3rd;c programming language 2nd 3rd;c programming language 2nd 3rd;0
boilerplate 2nd;boilerplate 2nd;boilerplate 2nd;0
redirection (pipes);redirection ( pipe );redirection (pipes);0
types 2nd 3rd;type 2nd 3rd;types 2nd 3rd;0
Graphics.UI.Gtk module;Graphics.UI.Gtk module;Graphics.UI.Gtk module;0
int;int;int;1
row datum;row datum;row data, row datum;0
newtype keyword;newtype keyword;newtype keyword;5
subtraction (-) option;subtraction (-) option;subtraction (-) option;0
binary I/O;binary I/O;binary I/O;0
unboxed value in arrays;unboxed value in array;unboxed values in arrays, unboxed value in arrays;0
hsc2h;hsc2h;hsc2hs, hsc2h;0
association list;association list;association list;25
bool;bool;bool;1
foreign module;foreign module;foreign modules, foreign module;0
HPC;hpc;HPC;0
genericity;genericity;genericity;0
lock order inversion;lock order inversion;lock order inversion;0
repeat;repeat;repeat;9
class;class;classes, class;118
quickquery' function 2nd;quickquery ' function 2nd;quickquery' function 2nd;0
scaled value;scaled value;scaled values, scaled value;0
mconcat;mconcat;mconcat;0
disjunction;disjunction;disjunction;0
command-line;command-line;command-line;3
codemessage;codemessage;codemessage;0
Data.List.lookup function;Data.List.lookup function;Data.List.lookup function;0
POSIX regular expression;posix regular expression;POSIX regular expressions, POSIX regular expression;0
Standard ML;standard ml;Standard ML;0
imperative programming;imperative programming;imperative programming;2
